,Test case,Total value,Total weight,Time
0,/content/kplib/01WeaklyCorrelated/n10000/R01000/s037.kp,2541674,2495650,230.89731097221375
0,/content/kplib/01WeaklyCorrelated/n00050/R01000/s097.kp,12832,11513,1.827981948852539
0,/content/kplib/01WeaklyCorrelated/n01000/R01000/s045.kp,266252,252196,24.31943130493164
0,/content/kplib/01WeaklyCorrelated/n00500/R10000/s085.kp,1309531,1209277,12.583867073059082
0,/content/kplib/01WeaklyCorrelated/n05000/R01000/s060.kp,1266014,1230410,117.73728466033936
0,/content/kplib/06UncorrelatedWithSimilarWeights/n01000/R10000/s053.kp,330791,49526005,24.613079071044922
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00500/R10000/s050.kp,174405,24712427,12.753209590911865
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00050/R01000/s018.kp,17147,2401243,1.9172358512878418
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00200/R10000/s002.kp,73236,9904938,5.625290870666504
0,/content/kplib/06UncorrelatedWithSimilarWeights/n05000/R10000/s010.kp,1377277,247621486,118.33779907226562
0,/content/kplib/10MultipleStronglyCorrelated/n02000/R10000/s010.kp,7426722,4978722,48.689799785614014
0,/content/kplib/10MultipleStronglyCorrelated/n00100/R01000/s066.kp,38527,24227,3.0837559700012207
0,/content/kplib/10MultipleStronglyCorrelated/n00500/R01000/s031.kp,192074,122674,12.74028468132019
0,/content/kplib/10MultipleStronglyCorrelated/n10000/R10000/s078.kp,36402940,25044940,233.80888390541077
0,/content/kplib/10MultipleStronglyCorrelated/n00200/R10000/s070.kp,769657,491657,5.5281901359558105
0,/content/kplib/04AlmostStronglyCorrelated/n00100/R01000/s004.kp,30490,23880,3.0780930519104004
0,/content/kplib/04AlmostStronglyCorrelated/n00500/R01000/s035.kp,150139,118961,12.691990613937378
0,/content/kplib/04AlmostStronglyCorrelated/n10000/R10000/s051.kp,30125946,24936812,232.79843044281006
0,/content/kplib/04AlmostStronglyCorrelated/n02000/R01000/s059.kp,613523,503727,48.690457820892334
0,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s007.kp,139644,104635,1.9918560981750488
0,/content/kplib/03InverseStronglyCorrelated/n10000/R01000/s059.kp,2523624,2986824,230.0907473564148
0,/content/kplib/03InverseStronglyCorrelated/n00050/R01000/s086.kp,13244,15044,1.8826673030853271
0,/content/kplib/03InverseStronglyCorrelated/n01000/R01000/s029.kp,252147,292247,24.28279972076416
0,/content/kplib/03InverseStronglyCorrelated/n02000/R10000/s023.kp,5021373,5898373,46.99681806564331
0,/content/kplib/03InverseStronglyCorrelated/n05000/R01000/s078.kp,1273011,1501411,116.36804533004761
0,/content/kplib/09SpannerStronglyCorrelated/n05000/R01000/s019.kp,2269996,894396,117.46148252487183
0,/content/kplib/09SpannerStronglyCorrelated/n00200/R01000/s025.kp,99606,31206,5.591593980789185
0,/content/kplib/09SpannerStronglyCorrelated/n10000/R10000/s039.kp,35877690,7382690,234.53348851203918
0,/content/kplib/09SpannerStronglyCorrelated/n00100/R01000/s078.kp,52950,13150,3.0650827884674072
0,/content/kplib/09SpannerStronglyCorrelated/n00050/R10000/s059.kp,288135,79135,1.8918299674987793
0,/content/kplib/08SpannerWeaklyCorrelated/n00200/R01000/s037.kp,71220,17204,5.525605201721191
0,/content/kplib/08SpannerWeaklyCorrelated/n00500/R10000/s052.kp,1528470,660513,12.720263481140137
0,/content/kplib/08SpannerWeaklyCorrelated/n05000/R01000/s003.kp,922815,472948,116.7029058933258
0,/content/kplib/08SpannerWeaklyCorrelated/n00050/R10000/s023.kp,230020,117600,1.9287590980529785
0,/content/kplib/08SpannerWeaklyCorrelated/n00100/R10000/s092.kp,255724,130864,3.0748982429504395
0,/content/kplib/12Circle/n00100/R01000/s071.kp,479667,22765,3.0402445793151855
0,/content/kplib/12Circle/n01000/R01000/s043.kp,5144377,244152,24.224212169647217
0,/content/kplib/12Circle/n00500/R01000/s046.kp,2650653,125800,12.488575220108032
0,/content/kplib/12Circle/n02000/R10000/s079.kp,327646815,4914955,48.0885956287384
0,/content/kplib/12Circle/n10000/R10000/s059.kp,1659614787,24895503,228.7262659072876
0,/content/kplib/00Uncorrelated/n00200/R10000/s039.kp,730309,485371,5.4883763790130615
0,/content/kplib/00Uncorrelated/n02000/R10000/s045.kp,6180555,4919472,49.099995613098145
0,/content/kplib/00Uncorrelated/n00500/R01000/s044.kp,181082,125085,12.800422430038452
0,/content/kplib/00Uncorrelated/n00050/R10000/s018.kp,189970,123506,1.9324901103973389
0,/content/kplib/00Uncorrelated/n00100/R10000/s073.kp,367791,234951,3.175994634628296
0,/content/kplib/02StronglyCorrelated/n00200/R10000/s078.kp,616319,485319,5.518802881240845
0,/content/kplib/02StronglyCorrelated/n01000/R10000/s068.kp,3082149,2505149,25.00865888595581
0,/content/kplib/02StronglyCorrelated/n10000/R01000/s029.kp,2986448,2462748,234.2888171672821
0,/content/kplib/02StronglyCorrelated/n02000/R01000/s003.kp,606054,493654,49.14305233955383
0,/content/kplib/02StronglyCorrelated/n00100/R01000/s043.kp,32787,26287,3.1485629081726074
0,/content/kplib/07SpannerUncorrelated/n00200/R01000/s068.kp,39679,38504,5.636927843093872
0,/content/kplib/07SpannerUncorrelated/n01000/R01000/s085.kp,113752,128588,25.029294729232788
0,/content/kplib/07SpannerUncorrelated/n10000/R01000/s077.kp,1567697,1282349,233.9240038394928
0,/content/kplib/07SpannerUncorrelated/n00500/R01000/s095.kp,81857,95429,12.759544372558594
0,/content/kplib/07SpannerUncorrelated/n02000/R01000/s035.kp,328401,398880,48.85082793235779
0,/content/kplib/05SubsetSum/n00200/R01000/s075.kp,49704,49704,5.417579650878906
0,/content/kplib/05SubsetSum/n10000/R01000/s024.kp,2455328,2455328,229.56972908973694
0,/content/kplib/05SubsetSum/n05000/R10000/s036.kp,12330501,12330501,117.65606498718262
0,/content/kplib/05SubsetSum/n00050/R10000/s049.kp,116820,116820,1.9168567657470703
0,/content/kplib/05SubsetSum/n00500/R10000/s062.kp,1211596,1211596,12.55264139175415
