,Path,Total value,Total weight,Time
0,/content/kplib/01WeaklyCorrelated/n10000/R01000/s037.kp,2555511,2495649,458.47580432891846
0,/content/kplib/01WeaklyCorrelated/n00050/R01000/s097.kp,12925,11517,3.6720848083496094
0,/content/kplib/01WeaklyCorrelated/n01000/R01000/s045.kp,268483,252215,48.87373399734497
0,/content/kplib/01WeaklyCorrelated/n00500/R10000/s085.kp,1318160,1208891,25.183213710784912
0,/content/kplib/01WeaklyCorrelated/n05000/R01000/s060.kp,1276430,1230425,231.94334983825684
0,/content/kplib/06UncorrelatedWithSimilarWeights/n01000/R10000/s053.kp,344964,49525400,49.06968283653259
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00500/R10000/s050.kp,178317,24712217,25.1328444480896
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00050/R01000/s018.kp,17242,2401332,3.679795026779175
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00200/R10000/s002.kp,71720,9904968,10.513303756713867
0,/content/kplib/06UncorrelatedWithSimilarWeights/n05000/R10000/s010.kp,1431549,247622643,232.01608514785767
0,/content/kplib/10MultipleStronglyCorrelated/n02000/R10000/s010.kp,7531714,4978714,95.24314093589783
0,/content/kplib/10MultipleStronglyCorrelated/n00100/R01000/s066.kp,38926,24226,6.095929384231567
0,/content/kplib/10MultipleStronglyCorrelated/n00500/R01000/s031.kp,195560,122660,25.300259590148926
0,/content/kplib/10MultipleStronglyCorrelated/n10000/R10000/s078.kp,36713846,25045846,464.29336190223694
0,/content/kplib/10MultipleStronglyCorrelated/n00200/R10000/s070.kp,785054,491054,10.807842254638672
0,/content/kplib/04AlmostStronglyCorrelated/n00100/R01000/s004.kp,30857,23854,6.091994524002075
0,/content/kplib/04AlmostStronglyCorrelated/n00500/R01000/s035.kp,150913,118926,25.202067136764526
0,/content/kplib/04AlmostStronglyCorrelated/n10000/R10000/s051.kp,30279266,24936190,461.5856611728668
0,/content/kplib/04AlmostStronglyCorrelated/n02000/R01000/s059.kp,617862,503721,95.1480655670166
0,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s007.kp,139658,104670,3.6466310024261475
0,/content/kplib/03InverseStronglyCorrelated/n10000/R01000/s059.kp,2531781,2986781,457.4269862174988
0,/content/kplib/03InverseStronglyCorrelated/n00050/R01000/s086.kp,13244,15044,3.662306070327759
0,/content/kplib/03InverseStronglyCorrelated/n01000/R01000/s029.kp,253549,292249,47.35327434539795
0,/content/kplib/03InverseStronglyCorrelated/n02000/R10000/s023.kp,5081833,5897833,93.79461932182312
0,/content/kplib/03InverseStronglyCorrelated/n05000/R01000/s078.kp,1281586,1501386,230.64956188201904
0,/content/kplib/09SpannerStronglyCorrelated/n05000/R01000/s019.kp,2279299,894399,232.30323791503906
0,/content/kplib/09SpannerStronglyCorrelated/n00200/R01000/s025.kp,100596,31196,11.038740396499634
0,/content/kplib/09SpannerStronglyCorrelated/n10000/R10000/s039.kp,36246560,7382560,462.2314918041229
0,/content/kplib/09SpannerStronglyCorrelated/n00100/R01000/s078.kp,52950,13150,6.0150134563446045
0,/content/kplib/09SpannerStronglyCorrelated/n00050/R10000/s059.kp,288135,79135,3.726724147796631
0,/content/kplib/08SpannerWeaklyCorrelated/n00200/R01000/s037.kp,71220,17204,10.875071048736572
0,/content/kplib/08SpannerWeaklyCorrelated/n00500/R10000/s052.kp,1580341,660219,25.329638957977295
0,/content/kplib/08SpannerWeaklyCorrelated/n05000/R01000/s003.kp,926055,472899,230.1135334968567
0,/content/kplib/08SpannerWeaklyCorrelated/n00050/R10000/s023.kp,230020,117600,3.7189221382141113
0,/content/kplib/08SpannerWeaklyCorrelated/n00100/R10000/s092.kp,256139,130853,6.129992485046387
0,/content/kplib/12Circle/n00100/R01000/s071.kp,479668,22765,5.9913341999053955
0,/content/kplib/12Circle/n01000/R01000/s043.kp,5144393,244152,47.37619996070862
0,/content/kplib/12Circle/n00500/R01000/s046.kp,2650675,125800,24.743056774139404
0,/content/kplib/12Circle/n02000/R10000/s079.kp,327646842,4914955,92.9674928188324
0,/content/kplib/12Circle/n10000/R10000/s059.kp,1659614773,24895503,455.25872778892517
0,/content/kplib/00Uncorrelated/n00200/R10000/s039.kp,758013,485285,10.944188356399536
0,/content/kplib/00Uncorrelated/n02000/R10000/s045.kp,6692770,4920346,95.87006998062134
0,/content/kplib/00Uncorrelated/n00500/R01000/s044.kp,179117,125088,25.38609027862549
0,/content/kplib/00Uncorrelated/n00050/R10000/s018.kp,189671,122509,3.74898624420166
0,/content/kplib/00Uncorrelated/n00100/R10000/s073.kp,372251,235326,6.1903674602508545
0,/content/kplib/02StronglyCorrelated/n00200/R10000/s078.kp,618826,484826,10.875908136367798
0,/content/kplib/02StronglyCorrelated/n01000/R10000/s068.kp,3127190,2505190,49.6805522441864
0,/content/kplib/02StronglyCorrelated/n10000/R01000/s029.kp,2992971,2462671,463.3713102340698
0,/content/kplib/02StronglyCorrelated/n02000/R01000/s003.kp,611152,493652,95.81229281425476
0,/content/kplib/02StronglyCorrelated/n00100/R01000/s043.kp,32964,26264,6.1177802085876465
0,/content/kplib/07SpannerUncorrelated/n00200/R01000/s068.kp,39753,38498,10.895034551620483
0,/content/kplib/07SpannerUncorrelated/n01000/R01000/s085.kp,115714,128597,49.231048583984375
0,/content/kplib/07SpannerUncorrelated/n10000/R01000/s077.kp,1633504,1282339,459.95903635025024
0,/content/kplib/07SpannerUncorrelated/n00500/R01000/s095.kp,82478,95447,25.37542223930359
0,/content/kplib/07SpannerUncorrelated/n02000/R01000/s035.kp,332419,398842,95.02997922897339
0,/content/kplib/05SubsetSum/n00200/R01000/s075.kp,49704,49704,10.531284809112549
0,/content/kplib/05SubsetSum/n10000/R01000/s024.kp,2455328,2455328,452.77640867233276
0,/content/kplib/05SubsetSum/n05000/R10000/s036.kp,12330501,12330501,228.47746586799622
0,/content/kplib/05SubsetSum/n00050/R10000/s049.kp,116821,116821,3.497174024581909
0,/content/kplib/05SubsetSum/n00500/R10000/s062.kp,1211596,1211596,24.808363676071167
0,/content/kplib/11ProfitCeiling/n10000/R10000/s085.kp,24801666,24806058,455.01721024513245
0,/content/kplib/11ProfitCeiling/n05000/R01000/s052.kp,1232268,1234217,228.46163630485535
0,/content/kplib/11ProfitCeiling/n00200/R10000/s092.kp,521268,521347,10.580437660217285
0,/content/kplib/11ProfitCeiling/n02000/R10000/s058.kp,5063790,5064575,93.14924025535583
0,/content/kplib/11ProfitCeiling/n00500/R01000/s059.kp,125316,125485,24.695207834243774
