,Test case,Total value,Total weight,Time
0,/content/kplib/01WeaklyCorrelated/n10000/R01000/s037.kp,2752953,2495661,4.306412696838379
0,/content/kplib/01WeaklyCorrelated/n00050/R01000/s097.kp,12944,11518,5.809884786605835
0,/content/kplib/01WeaklyCorrelated/n01000/R01000/s045.kp,277502,252227,5.823117733001709
0,/content/kplib/01WeaklyCorrelated/n00500/R10000/s085.kp,1348557,1209401,5.8340747356414795
0,/content/kplib/01WeaklyCorrelated/n05000/R01000/s060.kp,1363534,1230426,5.926518201828003
0,/content/kplib/06UncorrelatedWithSimilarWeights/n01000/R10000/s053.kp,370698,49525707,6.12932562828064
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00500/R10000/s050.kp,184670,24712081,106.14116668701172
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00050/R01000/s018.kp,17242,2401332,195.64230608940125
0,/content/kplib/06UncorrelatedWithSimilarWeights/n00200/R10000/s002.kp,74488,9904931,195.6504247188568
0,/content/kplib/06UncorrelatedWithSimilarWeights/n05000/R10000/s010.kp,1854685,247622445,295.67179107666016
0,/content/kplib/10MultipleStronglyCorrelated/n02000/R10000/s010.kp,8039094,4978094,395.69489002227783
0,/content/kplib/10MultipleStronglyCorrelated/n00100/R01000/s066.kp,39428,24228,421.7590034008026
0,/content/kplib/10MultipleStronglyCorrelated/n00500/R01000/s031.kp,200582,122682,450.4649543762207
0,/content/kplib/10MultipleStronglyCorrelated/n10000/R10000/s078.kp,40460664,25046664,550.5068807601929
0,/content/kplib/10MultipleStronglyCorrelated/n00200/R10000/s070.kp,794712,491712,582.4960834980011
0,/content/kplib/04AlmostStronglyCorrelated/n00100/R01000/s004.kp,31001,23881,599.3503527641296
0,/content/kplib/04AlmostStronglyCorrelated/n00500/R01000/s035.kp,154537,118961,601.6552498340607
0,/content/kplib/04AlmostStronglyCorrelated/n10000/R10000/s051.kp,31942894,24932396,701.6964037418365
0,/content/kplib/04AlmostStronglyCorrelated/n02000/R01000/s059.kp,643235,503729,703.0298624038696
0,/content/kplib/04AlmostStronglyCorrelated/n00050/R10000/s007.kp,140445,104478,703.0349054336548
0,/content/kplib/03InverseStronglyCorrelated/n10000/R01000/s059.kp,2670679,2986579,803.0655100345612
0,/content/kplib/03InverseStronglyCorrelated/n00050/R01000/s086.kp,13344,15044,806.0393500328064
0,/content/kplib/03InverseStronglyCorrelated/n01000/R01000/s029.kp,260961,292261,906.0536940097809
0,/content/kplib/03InverseStronglyCorrelated/n02000/R10000/s023.kp,5262519,5894519,1256.035652399063
0,/content/kplib/03InverseStronglyCorrelated/n05000/R01000/s078.kp,1342873,1501073,1356.0544562339783
0,/content/kplib/09SpannerStronglyCorrelated/n05000/R01000/s019.kp,2351087,894387,1456.0825760364532
0,/content/kplib/09SpannerStronglyCorrelated/n00200/R01000/s025.kp,100982,31182,1556.0995783805847
0,/content/kplib/09SpannerStronglyCorrelated/n10000/R10000/s039.kp,41211780,7381780,2006.703797340393
0,/content/kplib/09SpannerStronglyCorrelated/n00100/R01000/s078.kp,52950,13150,2106.755321264267
